asset_id,asset_kind,status,source_path,layer,feature_count,row_count,pixel_count,geometry_type,crs,uwm_roles,limitations
chongqing_osm_roads_2021,vector,already_manifested_now_profiled,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/02重庆市OSM道路数据2021年/OSM_roads.shp,,50366,,,LineString,EPSG:4326,mobility_graph;mobility_activity;renderer;baseline,
chongqing_central_buildings_2021,vector,already_manifested_now_profiled,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/04重庆市中心城区建筑物轮廓数据2021年/中心城区建筑数据带层高.shp,,107452,,,Polygon,EPSG:4326,urban_form;renderer;baseline,
chongqing_historic_districts_local,vector,newly_recognized,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/05重庆市中心城区历史文化街区数据/中心城区历史文化街区数据.shp,,20,,,Polygon Z,EPSG:4490,urban_form;cultural_heritage;service_accessibility;livability_context;renderer;planner_targeting,
bishan_land_use_dltb_local,vector,newly_recognized,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/07规划编制相关数据/区县/现状用地数据/GDB.gdb,DLTB,101657,,,MultiPolygon,EPSG:4610,land_use_context;urban_form;planning_constraints;simulator_context;baseline,
gaode_poi_2024,vector,already_manifested_now_profiled,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/09高德地图POI数据/高德地图POI数据2024年.gdb,高德地图POI数据2024年,1194351,,,Point,EPSG:4490,service_accessibility;baseline;planner_targeting,
baidu_aoi_2024,vector,already_manifested_now_profiled,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/10百度地图AOI数据/百度地图AOI数据.gdb,重庆市百度地图AOI数据_2024年,26292,,,MultiPolygon,EPSG:4490,service_accessibility;urban_form;baseline;planner_targeting,
baidu_search_index_2023_local,vector,newly_recognized,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/12成渝环渝百度搜索指数/成渝环渝百度搜索指数.gdb,成渝环渝百度搜索指数_2023,325,,,MultiLineString,EPSG:4490,mobility_activity;urban_activity_proxy;simulator_context;planner_targeting;mmfe_alignment,
bishan_admin_boundary_cjdcq_local,vector,newly_recognized,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/07规划编制相关数据/区县/其他资料/境界与政区.gdb/境界与政区.gdb,CJDCQ,1488,,,MultiPolygon,"COMPD_CS[""CGCS2000 / 3-degree Gauss-Kruger zone 35 + Yellow Sea 1985 height"",PROJCS[""CGCS2000 / 3-degree Gauss-Kruger zone 35"",GEOGCS[""China Geodetic Coordinate System 2000"",DATUM[""China_2000"",SPHEROID[""CGCS2000"",6378137,298.257222101,AUTHORITY[""EPSG"",""1024""]],AUTHORITY[""EPSG"",""1043""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4490""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",105],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",35500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Northing"",NORTH],AXIS[""Easting"",EAST],AUTHORITY[""EPSG"",""4523""]],VERT_CS[""Yellow Sea 1985 height"",VERT_DATUM[""Yellow Sea 1985"",2005,AUTHORITY[""EPSG"",""5137""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""5737""]]]",administrative_units;land_use_context;planning_constraints;baseline,
bishan_admin_boundary_xzq_local,vector,newly_recognized,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/07规划编制相关数据/区县/其他资料/境界与政区.gdb/境界与政区.gdb,XZQ,15,,,MultiPolygon,"COMPD_CS[""CGCS2000 / 3-degree Gauss-Kruger zone 35 + Yellow Sea 1985 height"",PROJCS[""CGCS2000 / 3-degree Gauss-Kruger zone 35"",GEOGCS[""China Geodetic Coordinate System 2000"",DATUM[""China_2000"",SPHEROID[""CGCS2000"",6378137,298.257222101,AUTHORITY[""EPSG"",""1024""]],AUTHORITY[""EPSG"",""1043""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4490""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",105],PARAMETER[""scale_factor"",1],PARAMETER[""false_easting"",35500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Northing"",NORTH],AXIS[""Easting"",EAST],AUTHORITY[""EPSG"",""4523""]],VERT_CS[""Yellow Sea 1985 height"",VERT_DATUM[""Yellow Sea 1985"",2005,AUTHORITY[""EPSG"",""5137""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""5737""]]]",administrative_units;land_use_context;planning_constraints;baseline,
fulu_village_planning_database_local,vector_collection,newly_recognized,.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/07规划编制相关数据/村规划,,8050,,,mixed,mixed_CGCS2000_GK_zone_35_EPSG4523,planning_constraints;land_use_context;village_livability_context;simulator_context,
