data_object_id,data_object_name,field_name,field_type,required_level,description,twm_usage
D01,现状地块/图斑与地类空间底座,parcel_id,string,必需,稳定空间单元 ID，可映射至图斑编号/地块编号。,构建 parcel/block/township/county 层级状态；计算面积、邻接、控制线冲突、规划适宜性；为 future_latent_state 和规划方案提供空间承载单元。
D01,现状地块/图斑与地类空间底座,geometry,geometry,内网必需,面几何；对外材料不导出原始几何。,构建 parcel/block/township/county 层级状态；计算面积、邻接、控制线冲突、规划适宜性；为 future_latent_state 和规划方案提供空间承载单元。
D01,现状地块/图斑与地类空间底座,area_m2,number,必需,权威面积或可复算面积。,构建 parcel/block/township/county 层级状态；计算面积、邻接、控制线冲突、规划适宜性；为 future_latent_state 和规划方案提供空间承载单元。
D01,现状地块/图斑与地类空间底座,land_use_code,string,必需,现状地类/用途编码。,构建 parcel/block/township/county 层级状态；计算面积、邻接、控制线冲突、规划适宜性；为 future_latent_state 和规划方案提供空间承载单元。
D01,现状地块/图斑与地类空间底座,admin_code,string,必需,行政区代码。,构建 parcel/block/township/county 层级状态；计算面积、邻接、控制线冲突、规划适宜性；为 future_latent_state 和规划方案提供空间承载单元。
D01,现状地块/图斑与地类空间底座,snapshot_date,date,必需,数据时相。,构建 parcel/block/township/county 层级状态；计算面积、邻接、控制线冲突、规划适宜性；为 future_latent_state 和规划方案提供空间承载单元。
D01,现状地块/图斑与地类空间底座,source_version,string,必需,源数据版本或批次。,构建 parcel/block/township/county 层级状态；计算面积、邻接、控制线冲突、规划适宜性；为 future_latent_state 和规划方案提供空间承载单元。
D01,现状地块/图斑与地类空间底座,crs,string,必需,坐标参考系统。,构建 parcel/block/township/county 层级状态；计算面积、邻接、控制线冲突、规划适宜性；为 future_latent_state 和规划方案提供空间承载单元。
D02,法定控制线/规划管控图层,control_id,string,必需,控制线/管控单元 ID。,判断永久基本农田、生态保护红线、城镇开发边界、用途管制分区等冲突；生成 rule_evaluation、hard_blocks 和 required_reviews。
D02,法定控制线/规划管控图层,control_type,enum,必需,pbf/ecological_redline/urban_boundary/planning_zone/use_control 等。,判断永久基本农田、生态保护红线、城镇开发边界、用途管制分区等冲突；生成 rule_evaluation、hard_blocks 和 required_reviews。
D02,法定控制线/规划管控图层,geometry,geometry,内网必需,控制线或管控区几何。,判断永久基本农田、生态保护红线、城镇开发边界、用途管制分区等冲突；生成 rule_evaluation、hard_blocks 和 required_reviews。
D02,法定控制线/规划管控图层,severity,enum,必需,hard_block/requires_review/info。,判断永久基本农田、生态保护红线、城镇开发边界、用途管制分区等冲突；生成 rule_evaluation、hard_blocks 和 required_reviews。
D02,法定控制线/规划管控图层,rule_code,string,必需,适用规则代码。,判断永久基本农田、生态保护红线、城镇开发边界、用途管制分区等冲突；生成 rule_evaluation、hard_blocks 和 required_reviews。
D02,法定控制线/规划管控图层,effective_date,date,必需,生效日期。,判断永久基本农田、生态保护红线、城镇开发边界、用途管制分区等冲突；生成 rule_evaluation、hard_blocks 和 required_reviews。
D02,法定控制线/规划管控图层,version,string,必需,管控边界版本。,判断永久基本农田、生态保护红线、城镇开发边界、用途管制分区等冲突；生成 rule_evaluation、hard_blocks 和 required_reviews。
D03,项目/审批/审查/复核业务对象,project_id,string,推荐,项目/事项编号；没有项目概念时可为空。,构建 project、approval、review_task 对象；连接空间单元、审批状态、审查任务、规则命中和证据项。
D03,项目/审批/审查/复核业务对象,approval_id,string,必需,审批件/案卷/事项编号。,构建 project、approval、review_task 对象；连接空间单元、审批状态、审查任务、规则命中和证据项。
D03,项目/审批/审查/复核业务对象,unit_id,string,必需,可观测样本 ID，可映射到项目、审批件、地块或图斑。,构建 project、approval、review_task 对象；连接空间单元、审批状态、审查任务、规则命中和证据项。
D03,项目/审批/审查/复核业务对象,approval_status,enum,必需,approved/in_review/rejected/returned/approved_with_conditions 等。,构建 project、approval、review_task 对象；连接空间单元、审批状态、审查任务、规则命中和证据项。
D03,项目/审批/审查/复核业务对象,decision_date,date,必需,审批或处置时间。,构建 project、approval、review_task 对象；连接空间单元、审批状态、审查任务、规则命中和证据项。
D03,项目/审批/审查/复核业务对象,approved_area_m2,number,推荐,批准面积。,构建 project、approval、review_task 对象；连接空间单元、审批状态、审查任务、规则命中和证据项。
D03,项目/审批/审查/复核业务对象,review_task_id,string,推荐,复核/补正任务编号。,构建 project、approval、review_task 对象；连接空间单元、审批状态、审查任务、规则命中和证据项。
D03,项目/审批/审查/复核业务对象,review_result,string,推荐,复核结论。,构建 project、approval、review_task 对象；连接空间单元、审批状态、审查任务、规则命中和证据项。
D04,生产观察历史 observed_history,unit_id,string,必需,样本 ID。,生产 observed-history preflight、因果校准、holdout 验证、action-conditioned dynamics 训练/评估、claim ladder 升级。
D04,生产观察历史 observed_history,approval_id,string,推荐,审批件 ID。,生产 observed-history preflight、因果校准、holdout 验证、action-conditioned dynamics 训练/评估、claim ladder 升级。
D04,生产观察历史 observed_history,approval_status,enum,必需,处理/决策状态。,生产 observed-history preflight、因果校准、holdout 验证、action-conditioned dynamics 训练/评估、claim ladder 升级。
D04,生产观察历史 observed_history,outcome,number,必需,业务结果或效用代理。,生产 observed-history preflight、因果校准、holdout 验证、action-conditioned dynamics 训练/评估、claim ladder 升级。
D04,生产观察历史 observed_history,area_m2,number,必需,面积协变量。,生产 observed-history preflight、因果校准、holdout 验证、action-conditioned dynamics 训练/评估、claim ladder 升级。
