dataset_id,dataset_name,source_type,source_ref,access_status,spatial_extent,temporal_extent,geometry_type,crs,license,lineage,quality_status,synthetic_status,used_by,claim_boundary
chongqing_central_buildings_2021,Chongqing central building footprints and floors,restricted_local,/Users/zhouning/Downloads/规划院提供数据样例及Demo系统功能演示建议.zip,available,Chongqing central urban area,2021,polygon,EPSG:4490,restricted_sample,planning institute zip audited 2026-07-05 as 447MB compressed with 600 entries and 533 files;building shapefile record count estimated from shx as 107452,usable,real,renderer;urban_form;baseline,bounded_support
chongqing_dem_80m,Chongqing ASTER GDEM 80m,planning_sample,/Users/zhouning/Downloads/规划院提供数据样例及Demo系统功能演示建议.zip,available,Chongqing municipality,2020,raster,EPSG:4490,source_terms_pending,planning institute zip re-audited 2026-07-05 with rasterio;GeoTIFF dimensions 1766x1454 equals 2567764 pixels;bounds 105.28983805 28.1652688656 110.1953936095 32.2041577577,usable,real,renderer;heat_exposure,bounded_support
chongqing_clcd_2020,Chongqing CLCD 2020,planning_sample,/Users/zhouning/Downloads/规划院提供数据样例及Demo系统功能演示建议.zip,available,Chongqing municipality,2020,raster,EPSG:4326,source_terms_pending,planning institute zip re-audited 2026-07-05 with rasterio;GeoTIFF dimensions 18579x15082 equals 280208478 pixels;CLCD classification dictionary also found with 9 classes,usable,real,renderer;remote_sensing_state;baseline,bounded_support
chongqing_osm_roads_2021,Chongqing OSM roads 2021,planning_sample,/Users/zhouning/Downloads/规划院提供数据样例及Demo系统功能演示建议.zip,available,Chongqing central urban area,2021,line,EPSG:4326,OSM_terms_if_source_verified,planning institute zip re-audited 2026-07-05 with pyogrio;OSM_roads shapefile has 50366 LineString features;fields osm_id code fclass name ref oneway maxspeed layer bridge tunnel,usable,real,renderer;mobility_activity;graph,bounded_support
gaode_poi_2024,Gaode POI 2024,restricted_local,/Users/zhouning/Downloads/规划院提供数据样例及Demo系统功能演示建议.zip,available,Chongqing,2024,point,EPSG:4490,restricted_sample,planning institute zip re-audited 2026-07-05 with pyogrio;FileGDB layer 高德地图POI数据2024年 has 1194351 Point features;top first type families include shopping 304133 address-name 186798 catering 186076 life-service 143925 and medical 45068,usable_profiled,real,service_accessibility;baseline,bounded_support
baidu_aoi_2024,Baidu AOI 2024,restricted_local,/Users/zhouning/Downloads/规划院提供数据样例及Demo系统功能演示建议.zip,available,Chongqing,2024,polygon,EPSG:4490,restricted_sample,planning institute zip re-audited 2026-07-05 with pyogrio;FileGDB layer 重庆市百度地图AOI数据_2024年 has 26292 MultiPolygon features;top first categories include real-estate 7464 government 5654 company 3811 education 3288 transport 1329 and medical 645,usable_profiled,real,service_accessibility;urban_form,bounded_support
paper6_chongqing_uhi,Paper6 Chongqing UHI analysis case,paper6,/Users/zhouning/paper6-spatial-causal-inference,available,Chongqing central urban area,analysis_sample,table;points,mixed,restricted_reproduction_boundary,Paper6 SCCA UHI case,usable,real,evidence_gate;heat_exposure,bounded_support
paper58_alphaearth_state,Paper58 AlphaEarth and GeoFM state prior,paper58,/Users/zhouning/paper58-geofm-world-model-rl,available,benchmark_regions,2020-2021,array;mixed,mixed,research_code,Paper58 bounded GeoFM prior,usable,public_proxy,remote_sensing_state;simulator,bounded_support
epa_greenbook_policy_structure,Paper6 EPA Green Book policy-structure benchmark,paper6,/Users/zhouning/.config/superpowers/worktrees/paper6-spatial-causal-inference/open-gis-parity-package-latest/data/raw/epa_airdata,available,United States counties,2005-2024,county_panel,EPSG:5070,public_EPA_Census,Paper6 EPA semi-synthetic benchmark,usable,semi_synthetic,uwm_air;evidence_gate,exploratory_only
era5_meteorology_chongqing,ERA5 meteorology for Chongqing through GEE,public,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_HOURLY;local_snapshot=data/uwm_public_proxy/chongqing_central/gee_era5_cams_2024_07_01_07/snapshot_manifest.json,available,Chongqing central point,2024-07-01_to_2024-07-07,point_timeseries_json,EPSG:4326,GEE_ECMWF_terms,sampled ECMWF/ERA5/HOURLY through locally authenticated GEE on 2026-07-05;168 hourly records;reanalysis point proxy not station holdout,gee_reanalysis_point_proxy_not_holdout,public_proxy,meteorology;uwm_heat;uwm_air;simulator_context;mmfe_alignment,bounded_support
